"tweet_id","vader_sentiment_categ","manual_sentiment_categ","flag","avaliador"
"1366228778897309696",Positivo Forte,Negativo Fraco,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1367143672509329418",Negativo Médio,Negativo Fraco,A,tnnomrt3rg656u2rst71u0umh8
"1367235965551583233",Negativo Forte,Negativo Médio,A,b5gjmgsosm8audo6h8f08mm7lk
"1367632783762464769",Positivo Médio,Negativo Forte,A,tnnomrt3rg656u2rst71u0umh8
"1367632783762464769",Positivo Médio,Negativo Médio,A,c2ua8va222fs9lii7teqlu3s6c
"1368990172029784069",Positivo Forte,Negativo Fraco,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1368999042416603139",Positivo Fraco,Positivo Forte,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1368999955273252865",Negativo Médio,Positivo Médio,A,noe25tih2m9hi3fa899jenetob
"1369015718658850816",Negativo Médio,Negativo Fraco,A,s457ti1vhqksns27eqpjet5l6a
"1369043861687910405",Positivo Fraco,Neutra,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1369044306154098691",Negativo Médio,Negativo Fraco,A,s457ti1vhqksns27eqpjet5l6a
"1369044868287324165",Positivo Médio,Negativo Fraco,A,d9lmms0qt686ev4lmu85s3nhie
"1369044868287324165",Positivo Médio,Negativo Médio,A,t7bjj9sm036osqj82ms7931pib
"1369062113788985345",Negativo Médio,Positivo Fraco,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1369062113788985345",Negativo Médio,Negativo Fraco,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1369062113788985345",Negativo Médio,Neutra,A,u00k428m046o7mq4ipq5uhnlgq
"1369086409349414917",Negativo Fraco,Neutra,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1369261417401114625",Negativo Forte,Negativo Fraco,A,d9lmms0qt686ev4lmu85s3nhie
"1369268403014361088",Negativo Fraco,Negativo Médio,A,d9lmms0qt686ev4lmu85s3nhie
"1369296314312318986",Negativo Fraco,Negativo Médio,A,u00k428m046o7mq4ipq5uhnlgq
"1369320432130813952",Negativo Médio,Neutra,A,s457ti1vhqksns27eqpjet5l6a
"1369356151339507720",Positivo Forte,Negativo Fraco,A,oof1qva57oj5hki084b5hi7m5a
"1369393469710548993",Negativo Médio,Negativo Fraco,A,oof1qva57oj5hki084b5hi7m5a
"1369415541149011975",Negativo Médio,Negativo Forte,A,noe25tih2m9hi3fa899jenetob
"1369415541149011975",Negativo Médio,Negativo Forte,A,hifip81cfia6o7hntbg2u7vqc0
"1369666434008236034",Negativo Fraco,Negativo Fraco,A,oof1qva57oj5hki084b5hi7m5a
"1369670239802318848",Negativo Médio,Negativo Médio,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1369692664006926337",Negativo Fraco,Positivo Médio,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1369694175659253762",Negativo Médio,Negativo Fraco,A,oof1qva57oj5hki084b5hi7m5a
"1369762992762609666",Negativo Forte,Negativo Médio,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1369772728761335815",Positivo Médio,Positivo Fraco,A,s457ti1vhqksns27eqpjet5l6a
"1370477294628790277",Positivo Médio,Negativo Fraco,A,d7gesl3gppc1drt2r90l0kksc0
"1370503652046209032",Negativo Médio,Positivo Médio,A,s457ti1vhqksns27eqpjet5l6a
"1370757196275912706",Negativo Fraco,Negativo Fraco,A,oof1qva57oj5hki084b5hi7m5a
"1370778832672854016",Negativo Forte,Negativo Médio,A,d7gesl3gppc1drt2r90l0kksc0
"1371173278304321536",Negativo Médio,Negativo Forte,A,s457ti1vhqksns27eqpjet5l6a
"1371550585644793863",Positivo Médio,Positivo Forte,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1371582998567600131",Positivo Forte,Positivo Fraco,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1371603661881753601",Positivo Médio,Negativo Forte,A,hifip81cfia6o7hntbg2u7vqc0
"1371784919165329412",Positivo Forte,Negativo Médio,A,b5gjmgsosm8audo6h8f08mm7lk
"1371788748028002305",Positivo Fraco,Negativo Médio,A,hifip81cfia6o7hntbg2u7vqc0
"1371834119437570050",Positivo Médio,Neutra,A,d7gesl3gppc1drt2r90l0kksc0
"1371844191848960002",Negativo Forte,Negativo Forte,A,"6q8untnl1kvbh624mo6ulgl6oo"
"1371854825726558214",Negativo Forte,Neutra,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1371901982227726337",Positivo Médio,Positivo Fraco,A,s457ti1vhqksns27eqpjet5l6a
"1371901982227726337",Positivo Médio,Neutra,A,d7gesl3gppc1drt2r90l0kksc0
"1371950029825531905",Negativo Forte,Negativo Forte,A,s457ti1vhqksns27eqpjet5l6a
"1371950029825531905",Negativo Forte,Negativo Médio,A,d9lmms0qt686ev4lmu85s3nhie
"1371967900031025153",Negativo Médio,Negativo Forte,A,noe25tih2m9hi3fa899jenetob
"1371969622803681281",Negativo Forte,Negativo Fraco,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1372136249994186759",Negativo Médio,Negativo Forte,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1372182422176022528",Negativo Forte,Negativo Médio,A,noe25tih2m9hi3fa899jenetob
"1372208071758450704",Positivo Fraco,Negativo Forte,A,u00k428m046o7mq4ipq5uhnlgq
"1372211831599677448",Negativo Fraco,Negativo Fraco,A,d7gesl3gppc1drt2r90l0kksc0
"1372211831599677448",Negativo Fraco,Neutra,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1372281377509543936",Negativo Médio,Positivo Forte,A,"6q8untnl1kvbh624mo6ulgl6oo"
"1372312155505168386",Negativo Fraco,Negativo Médio,A,t7bjj9sm036osqj82ms7931pib
"1372332621670326277",Positivo Fraco,Negativo Fraco,A,"6q8untnl1kvbh624mo6ulgl6oo"
"1372332621670326277",Positivo Fraco,Negativo Médio,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1372503469354070024",Positivo Fraco,Negativo Fraco,A,"6q8untnl1kvbh624mo6ulgl6oo"
"1372538673066037249",Negativo Fraco,Negativo Forte,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1372872190803202049",Positivo Forte,Negativo Forte,A,c2ua8va222fs9lii7teqlu3s6c
"1372872190803202049",Positivo Forte,Negativo Médio,A,c2ua8va222fs9lii7teqlu3s6c
"1372991523554476032",Positivo Médio,Negativo Forte,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1372991523554476032",Positivo Médio,Negativo Forte,A,s457ti1vhqksns27eqpjet5l6a
"1373124451215216640",Positivo Médio,Negativo Médio,A,t7bjj9sm036osqj82ms7931pib
"1373124451215216640",Positivo Médio,Negativo Fraco,A,s457ti1vhqksns27eqpjet5l6a
"1373655015424987139",Negativo Médio,Negativo Fraco,A,oof1qva57oj5hki084b5hi7m5a
"1373768130288304131",Negativo Forte,Positivo Fraco,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1374060426628116481",Negativo Médio,Neutra,A,noe25tih2m9hi3fa899jenetob
"1374079596476399616",Positivo Médio,Neutra,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1374472066322239493",Positivo Forte,Positivo Médio,A,noe25tih2m9hi3fa899jenetob
"1374491912640421893",Negativo Forte,Neutra,A,oof1qva57oj5hki084b5hi7m5a
"1374501804638052360",Negativo Médio,Negativo Médio,A,noe25tih2m9hi3fa899jenetob
"1374506617291513857",Negativo Médio,Negativo Fraco,A,b5gjmgsosm8audo6h8f08mm7lk
"1374511180660699136",Negativo Forte,Positivo Fraco,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1374514943068762114",Negativo Forte,Negativo Forte,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1374525370280538116",Negativo Médio,Negativo Forte,A,c2ua8va222fs9lii7teqlu3s6c
"1374744725429874688",Positivo Fraco,Negativo Fraco,A,noe25tih2m9hi3fa899jenetob
"1375058781403553795",Negativo Forte,Negativo Forte,A,"6q8untnl1kvbh624mo6ulgl6oo"
"1375560639440117760",Negativo Médio,Negativo Forte,A,noe25tih2m9hi3fa899jenetob
"1376331309086281738",Negativo Médio,Negativo Forte,A,tnnomrt3rg656u2rst71u0umh8
"1376331309086281738",Negativo Médio,Negativo Forte,A,t7bjj9sm036osqj82ms7931pib
"1376358598796840966",Negativo Forte,Negativo Fraco,A,u00k428m046o7mq4ipq5uhnlgq
"1376379223514943490",Positivo Médio,Negativo Fraco,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1376594808144289800",Positivo Médio,Positivo Médio,A,c2ua8va222fs9lii7teqlu3s6c
"1376897036243582979",Positivo Forte,Neutra,A,d9lmms0qt686ev4lmu85s3nhie
"1377231329906065410",Negativo Forte,Negativo Médio,A,d9lmms0qt686ev4lmu85s3nhie
"1377270773023449088",Negativo Médio,Neutra,A,d7gesl3gppc1drt2r90l0kksc0
"1377597572865527808",Positivo Médio,Negativo Fraco,A,tnnomrt3rg656u2rst71u0umh8
"1377765287123095559",Positivo Forte,Negativo Médio,D,c2ua8va222fs9lii7teqlu3s6c
"1377777911881695233",Positivo Médio,Neutra,A,tnnomrt3rg656u2rst71u0umh8
"1378075487365435392",Negativo Médio,Neutra,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1378095118452985856",Negativo Forte,Positivo Fraco,A,c2ua8va222fs9lii7teqlu3s6c
"1378183910354526208",Positivo Forte,Negativo Fraco,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1378458936207155202",Negativo Forte,Negativo Forte,A,"6q8untnl1kvbh624mo6ulgl6oo"
"1379048502140022787",Positivo Forte,Negativo Fraco,A,"6q8untnl1kvbh624mo6ulgl6oo"
"1379077334163206148",Positivo Médio,Negativo Forte,A,t7bjj9sm036osqj82ms7931pib
"1379083907140886535",Positivo Fraco,Neutra,A,oof1qva57oj5hki084b5hi7m5a
"1379145445075730437",Negativo Forte,Negativo Médio,A,t7bjj9sm036osqj82ms7931pib
"1379220450136498177",Negativo Médio,Negativo Médio,A,d7gesl3gppc1drt2r90l0kksc0
"1379455704654876675",Negativo Forte,Negativo Forte,D,d7gesl3gppc1drt2r90l0kksc0
"1379472426476711941",Negativo Médio,Positivo Forte,D,t2fs9chk8qerqdi8i7kfr6gr1t
"1379539017444769796",Negativo Forte,Negativo Médio,D,"6q8untnl1kvbh624mo6ulgl6oo"
"1379539017444769796",Negativo Forte,Negativo Forte,D,d9lmms0qt686ev4lmu85s3nhie
"1379569811357888512",Negativo Forte,Negativo Forte,D,noe25tih2m9hi3fa899jenetob
"1379604820827463683",Positivo Forte,Negativo Fraco,A,"6q8untnl1kvbh624mo6ulgl6oo"
"1379864351025332229",Positivo Médio,Positivo Fraco,D,"6q8untnl1kvbh624mo6ulgl6oo"
"1379867372585107457",Negativo Médio,Negativo Fraco,A,b5gjmgsosm8audo6h8f08mm7lk
"1379867372585107457",Negativo Médio,Negativo Forte,A,"6q8untnl1kvbh624mo6ulgl6oo"
"1379917943782436867",Negativo Fraco,Negativo Forte,A,s457ti1vhqksns27eqpjet5l6a
"1380273132091670532",Negativo Médio,Negativo Forte,D,d9lmms0qt686ev4lmu85s3nhie
"1380297186622181380",Positivo Médio,Positivo Fraco,A,d7gesl3gppc1drt2r90l0kksc0
"1380301778487549958",Positivo Fraco,Negativo Fraco,D,oof1qva57oj5hki084b5hi7m5a
"1380316219560058882",Positivo Forte,Negativo Fraco,A,c2ua8va222fs9lii7teqlu3s6c
"1380321855752519682",Negativo Forte,Negativo Forte,D,u00k428m046o7mq4ipq5uhnlgq
"1380479335971323906",Negativo Fraco,Negativo Forte,A,u00k428m046o7mq4ipq5uhnlgq
"1380501954481250308",Positivo Médio,Negativo Forte,A,u00k428m046o7mq4ipq5uhnlgq
"1380669675101650944",Negativo Médio,Positivo Forte,A,hifip81cfia6o7hntbg2u7vqc0
"1380835948519419905",Negativo Médio,Neutra,A,b5gjmgsosm8audo6h8f08mm7lk
"1380835948519419905",Negativo Médio,Positivo Fraco,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1380945202387517444",Positivo Médio,Positivo Fraco,A,s457ti1vhqksns27eqpjet5l6a
"1381001945712852993",Negativo Forte,Negativo Médio,D,oof1qva57oj5hki084b5hi7m5a
"1381001966868905995",Negativo Forte,Negativo Forte,D,c2ua8va222fs9lii7teqlu3s6c
"1381267883943137283",Positivo Forte,Neutra,A,b5gjmgsosm8audo6h8f08mm7lk
"1381284774212468737",Positivo Fraco,Negativo Fraco,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1381350618372132864",Negativo Médio,Negativo Forte,D,tnnomrt3rg656u2rst71u0umh8
"1381390935469260800",Negativo Forte,Positivo Fraco,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1381640822710538251",Negativo Fraco,Neutra,A,d9lmms0qt686ev4lmu85s3nhie
"1381651070271774730",Negativo Forte,Negativo Médio,A,s457ti1vhqksns27eqpjet5l6a
"1381771927505793026",Negativo Médio,Positivo Fraco,A,b5gjmgsosm8audo6h8f08mm7lk
"1381779118673498133",Positivo Forte,Negativo Fraco,A,s457ti1vhqksns27eqpjet5l6a
"1381955679280365568",Negativo Forte,Negativo Fraco,D,oof1qva57oj5hki084b5hi7m5a
"1381984553758289920",Positivo Forte,Positivo Médio,A,noe25tih2m9hi3fa899jenetob
"1382068364873457668",Negativo Forte,Positivo Médio,A,s457ti1vhqksns27eqpjet5l6a
"1382096649892331521",Negativo Fraco,Positivo Fraco,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1382158072735535104",Positivo Fraco,Negativo Forte,A,s457ti1vhqksns27eqpjet5l6a
"1382161565869346817",Positivo Médio,Negativo Forte,D,b5gjmgsosm8audo6h8f08mm7lk
"1382315595555823616",Negativo Forte,Negativo Fraco,A,c2ua8va222fs9lii7teqlu3s6c
"1382338512456933378",Positivo Médio,Negativo Fraco,A,t7bjj9sm036osqj82ms7931pib
"1382365053224165376",Positivo Médio,Negativo Fraco,A,b5gjmgsosm8audo6h8f08mm7lk
"1382376835611308036",Negativo Médio,Negativo Forte,A,t7bjj9sm036osqj82ms7931pib
"1382449334361411586",Positivo Médio,Negativo Fraco,A,oof1qva57oj5hki084b5hi7m5a
"1382471689829822472",Negativo Médio,Positivo Médio,A,hifip81cfia6o7hntbg2u7vqc0
"1382506429639184386",Negativo Fraco,Negativo Fraco,D,oof1qva57oj5hki084b5hi7m5a
"1382826664065896448",Positivo Médio,Neutra,D,hifip81cfia6o7hntbg2u7vqc0
"1382838649482465281",Positivo Médio,Negativo Fraco,A,oof1qva57oj5hki084b5hi7m5a
"1382842217195261953",Positivo Fraco,Positivo Fraco,D,s457ti1vhqksns27eqpjet5l6a
"1382849744020643849",Positivo Médio,Neutra,A,"6q8untnl1kvbh624mo6ulgl6oo"
"1382857758052077568",Negativo Forte,Neutra,A,c2ua8va222fs9lii7teqlu3s6c
"1382867552955723777",Positivo Fraco,Negativo Fraco,A,oof1qva57oj5hki084b5hi7m5a
"1383065526537175042",Negativo Médio,Neutra,D,"6q8untnl1kvbh624mo6ulgl6oo"
"1383077978108739585",Positivo Médio,Negativo Fraco,D,d9lmms0qt686ev4lmu85s3nhie
"1383081629795688452",Positivo Forte,Neutra,A,d7gesl3gppc1drt2r90l0kksc0
"1383085700325736455",Positivo Médio,Neutra,A,oof1qva57oj5hki084b5hi7m5a
"1383085700325736455",Positivo Médio,Positivo Fraco,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1383107834058047491",Positivo Médio,Neutra,D,s457ti1vhqksns27eqpjet5l6a
"1383112314963042310",Negativo Forte,Neutra,D,b5gjmgsosm8audo6h8f08mm7lk
"1383114213703360513",Negativo Fraco,Neutra,A,d7gesl3gppc1drt2r90l0kksc0
"1383224246839566351",Negativo Fraco,Negativo Forte,A,s457ti1vhqksns27eqpjet5l6a
"1383224246839566351",Negativo Fraco,Negativo Forte,A,s457ti1vhqksns27eqpjet5l6a
"1383451949089972241",Negativo Médio,Positivo Forte,D,t2fs9chk8qerqdi8i7kfr6gr1t
"1383609466667507712",Positivo Médio,Negativo Médio,A,t7bjj9sm036osqj82ms7931pib
"1383638417892773889",Positivo Forte,Negativo Fraco,A,b5gjmgsosm8audo6h8f08mm7lk
"1383695625703747584",Negativo Forte,Negativo Fraco,D,u00k428m046o7mq4ipq5uhnlgq
"1383779749676290059",Negativo Médio,Negativo Forte,D,s457ti1vhqksns27eqpjet5l6a
